trackname,tracktype,importance,currentcon,lastcut,nextcut,importance,lastcheck,history,custodian,track_geometry
Ivory Lake Hut Track,Route,1,,,,1,,,,"MULTILINESTRING((19021886.779699918 -5331998.575743582,19022854.900099915 -5332509.939543598,19023350.46699992 -5332043.463743591,19023934.157399923 -5331841.66774358,19025501.06329993 -5332983.471843606,19025972.702299926 -5332576.199943597))"
Mt Mason Track,Route,2,Gone in many places – followable in patches. Cruise-taped to 600m contour. A little trimming and marking done at top end.,,,2,1.5174E+12,,,"MULTILINESTRING((19117924.593299996 -5253617.037042211,19118229.256299995 -5253365.6308422005,19118503.3949 -5253179.398942203,19119116.931500006 -5253145.0552422,19120446.7815 -5252685.445442193,19120927.173799995 -5252833.601342198,19121367.3069 -5252792.575842197,19121656.140299987 -5252493.348242182,19122007.07959999 -5252707.995542195,19122396.351299994 -5253011.814142198,19122592.599900007 -5253347.021542197))"
"Price Range up the TR of Darnley Ck, Waitangitāhuna valley",Route,2,"OK at top, overgrown on bottom & mid sections.",,,2,,,Keith Kelly/ Kevin Hansen,"MULTILINESTRING((18958361.664025642 -5359550.780710584,18957781.92272456 -5360956.831021063,18958279.379600603 -5362006.36611697,18960099.62322797 -5364566.898071163,18961437.01430093 -5365011.554785099,18962163.796958838 -5364646.356268658,18963675.366741434 -5364773.620624408,18964699.845989935 -5365576.602437369))"
Yeats Ridge Track,,5,Should be good,,,5,1.70679E+12,,Liz Wightwick,"MULTILINESTRING((19051957.09929997 -5307145.528843157,19051892.49909997 -5307355.699143163,19051854.01409997 -5307400.659643158,19051884.52159997 -5307514.640943156,19051946.63509997 -5307581.464143162,19051960.773899972 -5307679.94984316,19052017.784699973 -5307756.478243161,19052133.523899976 -5307979.9331431575,19052197.788399965 -5308097.5305431625,19052196.172699973 -5308171.128243169,19052143.97959997 -5308320.515443172,19052143.490199964 -5308417.048743175,19052235.031699967 -5308554.891043183,19052295.421999972 -5308671.445243185,19052291.32389997 -5308688.485443184,19052295.287999973 -5308706.770643181,19052285.29639998 -5308814.65374318,19052281.08009997 -5308834.096543176,19052274.31859997 -5308843.688143176,19052239.184499964 -5308893.527543177,19052230.89959997 -5308897.9453431815,19052184.88629997 -5308956.491043183,19052185.695199978 -5308969.123843177,19052161.30929997 -5309016.365743194,19052114.633699976 -5309062.79044318,19052067.790499967 -5309191.035343186,19052004.864399966 -5309253.7117431825,19051930.224499967 -5309297.025643185,19051928.261499967 -5309307.410643185,19051936.065999966 -5309324.964743197,19051942.29229997 -5309330.883943187,19051942.54699997 -5309337.368543195,19051953.029299963 -5309352.707943193,19051961.802099973 -5309356.017043185,19051953.864099972 -5309378.268643194,19051960.515399966 -5309382.684843198,19051964.708699968 -5309392.471243195,19051963.39289997 -5309404.1376431845,19051973.65479996 -5309419.2500431845,19051984.034799974 -5309437.023143185,19051973.334199972 -5309449.899443191,19051984.58169996 -5309477.536343195,19051983.941899966 -5309485.465343196,19052001.13769997 -5309500.953543196,19052032.99629997 -5309513.028343191,19052036.220699966 -5309521.665843187,19052032.57899997 -5309532.020343198,19052040.192099966 -5309545.738943189,19052027.30859997 -5309552.929743195,19052031.037099965 -5309566.873943199,19052071.880099975 -5309586.779243191,19052101.23089996 -5309585.871243187,19052158.68289997 -5309585.267043197,19052190.35789997 -5309599.224943192,19052202.44949997 -5309600.389543198,19052205.320099976 -5309591.991843195))"
Mullins Hut tops access,Route,2,Good,,,2,1.64371E+12,,,"MULTILINESTRING((19049359.640999965 -5311322.357043218,19049200.545199964 -5311273.228343228,19049171.60209997 -5311276.272343225,19049139.31949997 -5311274.750343221,19049107.03919997 -5311275.030843229,19049080.32009997 -5311282.360343229,19049048.037499964 -5311280.838343226,19049025.773599956 -5311262.574443218,19049007.96249996 -5311239.74474323,19049003.50969997 -5311212.349043217,19049000.17009997 -5311184.953443227,19048991.264499966 -5311157.557943227,19048992.37769997 -5311125.596643222,19048979.019399963 -5311098.201343219,19048975.679799963 -5311070.806143222,19048962.321499966 -5311041.889043216))"
Tunnel Creek Rock Biv track,Route,3,Reasonably good condition.,,,3,1.54893E+12,,Geoff Spearpoint,"MULTILINESTRING((18872843.32669774 -5437567.713945432,18872999.483397745 -5437756.290545438,18873353.548197757 -5437796.776945438,18873535.98929777 -5437821.244345431,18873647.144197773 -5437757.069445435,18873661.549097776 -5437650.780845429,18873705.364097778 -5437551.421745432,18873770.286397777 -5437461.243245426,18873936.97569778 -5437348.788745431,18874032.142397787 -5437326.234845427,18874253.768497806 -5437164.6525454195,18874350.99599781 -5437132.228645434,18874500.891897812 -5437105.326145422,18874567.244497802 -5437099.808745421,18874791.60499781 -5437071.040845429,18875026.829297822 -5437099.123445428,18875064.098397825 -5437196.896845426,18875150.18789783 -5437273.48644543,18875318.520697847 -5437439.775745436,18875539.601197854 -5437609.926045436,18875813.497397866 -5437742.461745434,18875987.521697864 -5437826.09114544,18876308.967597883 -5438088.344245445,18876458.551997893 -5438189.141945445,18876698.97579789 -5438252.242545447,18876700.831797898 -5438247.342345449))"
Pfeifer Biv route up Paratu Stream,Route,3,Good,,,3,1.5174E+12,,Frank King /  Honora Renwick,"MULTILINESTRING((19103477.41779999 -5281051.5766427,19104150.1637 -5280680.052142681,19104343.914699994 -5280761.559642686,19106486.2569 -5280378.890742678,19106831.509800002 -5280542.747942689,19107060.828599986 -5280637.826642679,19107546.417400002 -5280668.506942677,19107523.35729999 -5280788.873842689,19107417.170599986 -5280922.586142692,19107201.723999992 -5281279.706142693,19107220.077499993 -5281351.797442703,19107252.7577 -5281747.206642709,19107202.397900004 -5282211.847742722,19107702.6727 -5282697.707242714,19107996.558399994 -5282678.54484272,19108158.852299996 -5282751.229742715,19108878.787999995 -5282488.503342716,19109232.449299995 -5282035.964942704,19109532.8243 -5281915.925342712,19109773.843999993 -5282037.660642703))"
Frisco Hut from Darby Creek,Route,3,Sidle section Good. Ridge section should still be OK. Section of riverbed below Bluff swingbridge getting difficult and needs a track detour.,1.7067E+12,,3,1.7067E+12,,Andrew Buglass /  Offers?,"MULTILINESTRING((19049799.25699997 -5317970.968543336,19049371.577999976 -5317897.486343344,19049155.22379997 -5317828.746943343,19049044.41879997 -5317747.634443339,19048833.35549996 -5317624.955343339,19048763.665799957 -5317530.024743333,19048682.516899973 -5317290.701643328,19048612.423899975 -5317068.01134333,19048567.33759997 -5317040.790243319,19048498.829499967 -5317039.246843326,19048404.369799957 -5317030.566443328,19048251.171499956 -5316948.49554333,19048210.906799965 -5316924.6575433295,19048157.13609996 -5316848.104643317,19048108.973399967 -5316812.623643326,19048031.77489996 -5316793.343143325,19047970.88289996 -5316805.156743316))"
Morgan Gorge Swingbridge to Kiwi Flat Hut,,3,,,,3,,,,"MULTILINESTRING((19006124.29479987 -5331995.832743588,19006242.38089988 -5332172.697443584,19006851.920299873 -5332559.010143603,19007409.772099886 -5332616.648543606))"
Top Olderog Bivvy Route?,Route,1,,,,1,,,,"MULTILINESTRING((19069913.762799986 -5286793.638342795,19073499.213699978 -5284939.964842763))"
Newton Range Tops,Route,2,Good - trimmed,1.73586E+12,,2,1.73586E+12,,,"MULTILINESTRING((19065904.74589997 -5293603.614642922,19066741.640299976 -5293200.083842913,19066911.11529998 -5292963.1965429075,19067570.511699975 -5292924.108342904,19067778.45929998 -5293003.46524291,19068396.96479999 -5293136.243942908,19069005.20999999 -5293035.922942905))"
Wilkinson Hut to Pahlow Creek,,1,,,,1,,,,"MULTILINESTRING((19034489.06449994 -5335871.744543648,19033834.469899945 -5335202.7497436395))"
Hunter River East Branch Track,,2,,,,2,,,,"MULTILINESTRING((18882091.409798153 -5470198.943445987,18882190.24059815 -5470113.769345985,18882308.215498157 -5469815.35704598,18882431.620098155 -5469661.223045973,18882511.235098172 -5469469.277445978,18882616.734498166 -5469337.153745976,18882868.59539818 -5469190.790845971,18883222.74949818 -5469045.4251459595,18883402.648098204 -5468975.815145961,18883557.95629819 -5468857.813245965,18883809.6367982 -5468764.489345969,18883960.42669822 -5468684.793645959,18884274.084598217 -5468591.036645963,18884480.77799823 -5468442.554845946,18884535.902898233 -5468320.443545951,18884673.030498244 -5468213.531445957))"
Castle Hill Peak from the Eastern Hohonu,,2,Very Overgrown. Start point completely unknown,,,2,,,,"MULTILINESTRING((19075168.99658418 -5258596.9851261545,19075152.945019733 -5258904.097637397,19075574.69144708 -5259027.189191284,19076355.667370766 -5259025.480898908,19077188.232496213 -5259877.367426351,19078018.110129032 -5259940.871830149,19078214.417162076 -5260171.300413916))"
Mt Mueller track,Route,3,Good and well-marked. Starts at E1538150/ N5310621. Vegetation may be obscuring entrance,1.57788E+12,,3,1.57788E+12,,Peter Alspach,"MULTILINESTRING((19174556.43020001 -5214139.3738415,19174684.7577 -5214049.0487415055,19175155.7333 -5213898.393841498,19175367.842600007 -5213863.289741496,19175628.634400006 -5213789.326441497,19175758.218999993 -5213823.419441497,19175922.370100006 -5213898.18624149,19176059.739299994 -5213933.243541502,19176200.2227 -5213927.596741489,19176401.344200008 -5213842.0933414865,19176669.496299993 -5213671.395741494,19176802.724399995 -5213598.607641491,19176954.7863 -5213562.950041488,19177162.026199996 -5213449.389841494,19177338.260600004 -5213342.954141476,19177490.919799995 -5213236.314541489,19177571.226699993 -5213228.590741481,19177726.1185 -5213298.954041486,19177928.8175 -5213447.520041487,19177983.316400003 -5213569.190941486,19178139.790399995 -5213700.077141487,19178184.312100004 -5213787.948441491,19178240.767099995 -5213852.365441492,19178301.184599996 -5213863.420041489,19178401.252500005 -5213905.885841493,19178640.806599997 -5214126.650441497,19178762.25010001 -5214238.729041506,19178877.426799994 -5214298.592041495,19179001.071100008 -5214348.429241496,19179073.5373 -5214392.670241501,19179246.5053 -5214469.959041507,19179361.5925 -5214522.374641504,19179526.3698 -5214686.003641521,19179705.1089 -5214764.900041509,19179784.559699997 -5214817.845641516,19179901.334500004 -5214960.0497415215))"
Mt Fleming Track,Route,2,Pretty Good,1.68558E+12,,2,1.68558E+12,,"Di Hooper, Flag McKenzie","MULTILINESTRING((19096617.082299985 -5151416.824240371,19096650.478099998 -5151445.256840365,19096649.3649 -5151491.64704036,19096661.61009999 -5151532.051640364,19096688.326799996 -5151566.470440372,19096713.9302 -5151608.37184037,19096740.646899987 -5151641.294440382,19096759.571199987 -5151683.196140376,19096786.287899993 -5151716.119040377,19096798.533099998 -5151798.426740382,19096837.494900003 -5151879.238640369,19096849.739999995 -5151919.644840374,19096876.45669999 -5151954.065040378,19096895.380999997 -5151994.471640385,19096935.456 -5152009.4370403765,19096975.531099994 -5152022.905940378,19097022.285199996 -5152030.388640377,19097070.152599987 -5152031.885140378,19097110.227599997 -5152039.367940388,19097156.981799982 -5152039.36794038,19097197.056799993 -5152019.912840373,19097238.244999994 -5152013.926640379,19097358.470099993 -5152036.3748403685,19097398.545099992 -5152051.340340384,19097438.6201 -5152072.292040379,19097444.186099987 -5152112.699040377,19097549.939599995 -5152195.010240386,19097603.372999992 -5152262.356140384,19097635.65559999 -5152290.791340379,19097669.05149999 -5152317.729940383,19097709.1265 -5152346.165240387,19097714.69249999 -5152386.573340387,19097734.729999986 -5152426.981740387,19097760.333499987 -5152461.403840378,19097780.370999992 -5152501.812440389,19097785.936899997 -5152542.22134039,19097799.2953 -5152582.630340391,19097804.8613 -5152623.039540389,19097843.82309999 -5152705.355040384,19097863.860599995 -5152745.764740394,19097889.464099996 -5152780.1879403945,19097922.859899994 -5152807.127940386,19097961.82169999 -5152889.4450403955,19097995.217599995 -5152916.38534039,19098020.821099997 -5152950.809240393,19098060.89609999 -5152971.762940396,19098100.971099995 -5152992.716640391,19098121.008599997 -5153033.127540405,19098146.612099987 -5153067.551840403,19098186.687099997 -5153088.505740403,19098226.762099996 -5153109.459740402,19098273.51629999 -5153109.459740399,19098313.591299996 -5153116.943340397,19098353.66629999 -5153145.381040392,19098387.0622 -5153172.322040393,19098433.8164 -5153200.759840403,19098473.891399994 -5153214.230440401,19098513.966399994 -5153221.714140398,19098554.0414 -5153242.668440396,19098593.0033 -5153277.093440407,19098619.719899997 -5153311.5185403945,19098659.7949 -5153338.460040406,19098699.86999999 -5153359.414640404,19098745.510999996 -5153387.852940407,19098778.906799994 -5153422.27854041,19098812.30259999 -5153449.2203404,19098852.37769999 -5153470.175140416,19098892.452699985 -5153491.1299404055,19098918.056199994 -5153525.555840406,19098958.131199997 -5153552.497940411,19098998.2062 -5153573.452940403,19099044.96039999 -5153594.4080404155,19099085.035399992 -5153609.37594041,19099145.147899996 -5153630.331140406,19099185.2229 -5153643.802340407,19099225.29799999 -5153664.757540412,19099265.373000003 -5153679.725540409,19099317.693099987 -5153700.680840407,19099357.76819999 -5153721.63624041,19099404.522299994 -5153748.578840403,19099444.59739999 -5153763.547040415))"
Track,,Medium,,,,Medium,,,,"MULTILINESTRING((19077848.15939999 -5204215.579541324,19077874.49119999 -5204218.428541322,19077885.831999984 -5204235.796741325,19077903.58099999 -5204244.920741328,19078038.804099984 -5204279.296141324,19078055.672599994 -5204290.913141319,19078106.66639998 -5204305.272941334,19078129.971599985 -5204329.144241322,19078141.62669998 -5204351.956741328,19078172.90389999 -5204373.051741325,19078173.908299983 -5204386.03934132,19078185.97229999 -5204409.278041323,19078185.489299987 -5204434.78744133,19078190.51779999 -5204455.381941325,19078157.114399984 -5204458.509841331,19078105.628599983 -5204470.077641327,19078099.25999999 -5204476.231241326,19078075.982899982 -5204472.85864133,19078059.495799992 -5204485.094141328,19078057.135199983 -5204499.691041335,19078040.19169998 -5204514.009541324,19078000.59369998 -5204514.090241326,19077981.503399987 -5204531.714441325,19077957.611399993 -5204538.78834133,19077945.111799985 -5204538.549641323,19077921.668099985 -5204543.958641323,19077901.41549999 -5204600.884941334,19077851.587299988 -5204612.901641331,19077834.60359999 -5204629.310941328,19077799.75519999 -5204664.622741322,19077768.811199985 -5204669.888041331,19077746.017899986 -5204684.931141338,19077700.304299988 -5204677.781741338,19077679.36009999 -5204683.238041332,19077644.395999987 -5204702.649941327,19077601.971599985 -5204719.827241334,19077528.315199994 -5204757.712741334,19077496.62789999 -5204764.112641326,19077484.043599986 -5204771.487641329,19077465.229 -5204787.272941326,19077452.124699995 -5204790.068341325,19077438.25489999 -5204785.233141329,19077422.408299975 -5204788.585241334,19077409.728899993 -5204784.991441332,19077398.462299995 -5204786.908041341,19077377.637399986 -5204780.720941333,19077367.928399988 -5204780.534941328,19077350.388799988 -5204777.1524413265,19077332.785499986 -5204777.11974134,19077309.486999985 -5204773.322241333,19077274.688099988 -5204767.780941325,19077246.179599993 -5204766.625141331,19077202.69599999 -5204786.811141332,19077191.427499987 -5204772.886341335,19077171.10699999 -5204788.03304134,19077168.051699985 -5204805.034041325,19077147.80829999 -5204832.063041338,19077133.856999993 -5204879.31894133,19077124.01449998 -5204886.136741336,19077083.767299987 -5204895.72214133,19077067.852499984 -5204918.5693413345,19077061.430399988 -5204937.029141339,19077034.165699985 -5204950.214541339,19076992.885999985 -5204966.177341332,19076966.42109998 -5204985.166141331,19076950.080499988 -5205014.402741341,19076917.297399987 -5205046.36984134,19076883.161099993 -5205085.622541346,19076863.734999985 -5205133.38334134,19076831.954399996 -5205160.495441334,19076781.56049998 -5205192.733441342,19076769.70289998 -5205141.096141344,19076735.12189998 -5205014.7652413435))"
Campbell Range (Mt. Walcott) from Mudflats Hut,Route,2,Good,,,2,1.48323E+12,,,"MULTILINESTRING((19076658.71069999 -5292899.794742904,19077586.20379999 -5293844.422342917,19078786.268899992 -5294904.751742936,19079545.26269998 -5294325.75794292,19079196.43999999 -5293766.28654292,19081076.053899992 -5292780.662442895))"
Mid Styx - Browning Range tops,TrackFormed,2,Chainsaw run  to 1100m. Top end requires a sidle off the ridge and up a steep scree on the TL.,1.74199E+12,,2,1.74199E+12,,Indy Hawthorne,"MULTILINESTRING((19063108.978599988 -5296154.683142955,19063026.175899975 -5296257.289742956,19062968.419399984 -5296393.838342961,19062954.615999974 -5296509.583742967,19062962.820999984 -5296584.933442965,19062954.918599974 -5296651.774942967,19062973.36389998 -5296782.907542968,19062915.744099967 -5296969.652942969,19062929.984999977 -5297068.014042978,19062946.159499988 -5297151.70704297,19062955.34769997 -5297258.136342971,19062963.010099977 -5297359.631642982,19063043.654199988 -5297554.185342987,19063275.836299974 -5297980.744342992,19063480.185399987 -5298179.525842987))"
Allan Knob from Track,Route,2,Recut to tussock / Last few hundred meters still a bit rough,1.57784E+12,,2,1.57784E+12,,Andrew Friedn?,"MULTILINESTRING((19051813.697499964 -5306201.550143136,19051841.057199966 -5306191.938643133,19051884.60799998 -5306220.60144314,19051950.61569996 -5306265.761843133,19052013.27529997 -5306326.59874313,19052122.584099974 -5306455.7325431425,19052148.027499974 -5306509.43234314,19052209.267499972 -5306473.86774314,19052228.152799968 -5306442.335443138,19052253.270999968 -5306423.120443142,19052264.066699963 -5306356.116543133,19052252.095399965 -5306326.548343133,19052265.988699976 -5306311.04384314,19052335.651699968 -5306294.366343137,19052392.66709997 -5306277.802543132,19052410.511799965 -5306282.661543131,19052421.335399974 -5306299.441043136,19052444.372899976 -5306310.266043142,19052473.990899976 -5306311.019743131,19052517.450899974 -5306284.255243144,19052551.41459997 -5306281.475743141,19052579.966599964 -5306265.486743134,19052585.96059997 -5306251.416143132,19052595.89409997 -5306255.0315431375,19052604.114399966 -5306240.55984314,19052607.678699974 -5306211.476543137,19052606.558999967 -5306148.681643128,19052608.005299974 -5306132.922543131,19052597.32159996 -5306122.072143136,19052593.188099977 -5306107.2436431395,19052599.276799962 -5306093.490943126,19052595.194199964 -5306063.600243133,19052611.776899967 -5306052.332843139,19052625.808199976 -5306002.145043139,19052610.552499976 -5305974.490543124,19052612.997199964 -5305862.100443129,19052600.493999977 -5305851.785843137,19052621.683999967 -5305808.3220431255,19052617.87709997 -5305725.066843131,19052673.95459996 -5305672.092443123,19052703.868699964 -5305632.35224312,19052728.044699963 -5305606.4835431175,19052729.752199966 -5305567.929343119,19052781.780099973 -5305529.78334312,19052818.953499977 -5305488.003843123,19052830.91559997 -5305400.021543118,19052813.93369997 -5305378.411643114,19052788.759399973 -5305294.49744312,19052784.989799973 -5305247.134943114,19052784.681899972 -5305186.411943123,19052791.971399963 -5305147.287243114,19052768.063899975 -5305089.13864311,19052774.34359996 -5305071.137343117,19052764.70799996 -5305044.189843112,19052748.637399964 -5305029.283443119,19052726.17849997 -5305021.022443121,19052707.16259997 -5304996.213543107,19052678.172099967 -5304985.6704431055,19052641.996899962 -5304956.565443114,19052641.626099966 -5304936.999943112,19052634.317899972 -5304917.746243107,19052643.909699973 -5304897.106543122,19052643.85609997 -5304887.875843118,19052614.00489997 -5304859.94474311,19052602.23899997 -5304840.261243123,19052601.427099973 -5304828.124743111,19052589.679799967 -5304813.578843104,19052570.71979997 -5304807.7146431105,19052548.009699963 -5304765.739143112,19052547.318499964 -5304751.660243116,19052560.922599975 -5304736.706543105,19052567.515699968 -5304725.563443107,19052597.812599972 -5304716.561443101,19052630.049599964 -5304692.05494311,19052664.611199964 -5304670.159343113,19052673.618699968 -5304643.300743104,19052667.152599964 -5304621.424843103,19052657.355299972 -5304610.703743106,19052656.960799962 -5304600.324743113,19052653.70699997 -5304579.101343111,19052664.92759997 -5304568.023143104,19052681.647999972 -5304554.995643099,19052682.716199968 -5304524.947843107,19052690.973799977 -5304511.434943099,19052688.32389996 -5304501.5553431045,19052695.178899977 -5304489.241043099,19052697.393299963 -5304466.039743107,19052660.397199973 -5304452.029843099,19052645.430699967 -5304412.498743106,19052629.773799974 -5304387.90824311,19052624.640599977 -5304362.215943099,19052630.856199972 -5304334.928643096,19052641.446499977 -5304321.199343109,19052696.880099967 -5304323.77434311,19052733.73629997 -5304322.066243104,19052787.900999974 -5304296.086543107,19052803.389899973 -5304271.330543105,19052803.59519997 -5304253.815443105,19052817.068799973 -5304215.228443106,19052813.476499964 -5304191.454343099,19052849.474199973 -5304098.334243101,19052871.074899975 -5304085.727143095,19052878.931199975 -5304088.187343102,19052884.64789997 -5304070.327343094,19052903.80689998 -5304038.663943095,19052911.86849998 -5304031.308743096,19052934.24349997 -5304028.134643104,19052922.216399968 -5304015.336443099,19052919.20249997 -5303957.821043091,19052926.200499967 -5303949.127343099,19052938.77829997 -5303942.62624309,19052962.375599977 -5303919.61774309,19052958.932599965 -5303897.781843092,19052964.754999973 -5303887.5714430995,19052974.737999976 -5303843.208243094,19052983.052499972 -5303808.807443089,19052982.265599973 -5303765.340643095))"
Bald Hill Track,Route,Medium,Good,,,Medium,1.641E+12,,,"MULTILINESTRING((19020073.387099918 -5306081.5812431285,19020179.778399915 -5306068.962943136,19020238.026799917 -5306076.0890431395,19020327.60889991 -5306113.589243132,19020368.789799914 -5306107.543643139,19020408.872099917 -5306115.1104431385,19020550.24779991 -5306194.2105431305,19020686.057599917 -5306259.620743139,19020747.464299913 -5306302.950543135,19020807.39589992 -5306317.425543141,19020930.96049992 -5306391.963743142,19020972.148699913 -5306385.878943138,19021074.10409991 -5306416.551443133,19021147.389399916 -5306429.953943137,19021201.313099917 -5306450.551843142,19021378.464899912 -5306489.320643144,19021486.444799908 -5306560.817843134,19021621.01079992 -5306743.019943146,19021733.573999915 -5306840.726843141,19021916.137999915 -5307075.00494315,19022065.306099925 -5307225.615343156,19022469.39589992 -5307367.10014315,19022617.684499923 -5307349.770343146,19022724.84779992 -5307291.512443149,19022861.124099925 -5307244.928743156,19022943.61689992 -5307224.094043155,19023042.57349992 -5307331.072743151,19023134.445299923 -5307354.875743144,19023266.443399917 -5307392.96314316,19023428.969899915 -5307465.988643153,19023614.33919993 -5307517.700143149,19023712.834599927 -5307555.749843149,19023816.361699924 -5307625.733743167,19023947.71869993 -5307741.360443162,19024178.96979993 -5307688.825443154,19024306.671899915 -5307686.589743165,19024445.63149992 -5307683.260543157,19024612.296099927 -5307748.967543157,19024787.748999923 -5307783.960143159,19024822.689899933 -5307783.960143161,19024891.18799993 -5307812.995343165,19024926.78799993 -5307862.401143159,19024959.111199915 -5307956.827143159,19024974.084399924 -5308018.261843174,19024994.47489993 -5308048.784843174,19025013.51179992 -5308123.630443167,19025070.946799934 -5308211.617343165,19025105.44139992 -5308223.6610431755,19025237.13199992 -5308398.899643179,19025255.72269993 -5308473.189043176,19025216.76089993 -5308552.309143168,19025153.30879992 -5308660.339443179,19025201.85549993 -5308738.017843187,19025244.805599935 -5308784.415743187,19025256.53519992 -5308826.406143176,19025277.986599922 -5308874.882343176,19025344.72999992 -5308943.691243181,19025452.75819993 -5308975.3083431795,19025519.549899936 -5309025.521743191,19025557.93149993 -5309081.523643186,19025490.46099993 -5309158.502643186,19025432.06209993 -5309238.013443191,19025428.489499934 -5309282.6184431845,19025398.559199918 -5309329.115743196,19025347.17349993 -5309432.932843197,19025268.27469993 -5309564.480443197,19025182.712199926 -5309732.504143193,19024986.194999922 -5309836.578643205,19024722.936699927 -5309920.811543206,19024579.437999923 -5310038.760343203))"
Boo Boo Hut track,Route,5,Reasonably good. Bit of regrowth here and there in the bits that weren’t trimmed.,1.70407E+12,,5,1.73591E+12,,Daniel Gillies,"MULTILINESTRING((19050699.69729997 -5295641.870642942,19051194.392799966 -5296563.911542968,19051279.91719997 -5296683.786642968,19051223.257499967 -5296865.644142973,19051292.785499968 -5296933.550942972,19051405.226799972 -5296943.417842969,19051562.405999966 -5296923.550042962,19051702.278099965 -5296855.366842969,19051795.476799976 -5296793.523242976,19051916.366299964 -5296753.183542967,19052068.52229996 -5296794.644342969,19052222.95149997 -5296900.059242973,19052422.929999962 -5296995.607442978,19052453.349199966 -5297027.7319429675,19052456.59069997 -5297038.724842971,19052478.220199965 -5297064.758042974,19052508.43659997 -5297096.222742967,19052545.68629997 -5297144.443342974,19052659.735999975 -5297313.42014298,19052793.42039998 -5297439.197242977,19052979.82209996 -5297539.956142979,19053046.76759997 -5297551.143542986,19053072.283299968 -5297567.78864298,19053101.96059997 -5297564.290842979,19053117.06819997 -5297580.132242989,19053129.279599965 -5297579.090042984,19053135.93549998 -5297574.317242979,19053164.073199965 -5297580.51014298,19053179.149199966 -5297587.831642988,19053353.72459998 -5297617.006042985,19053396.13269998 -5297618.592542979,19053429.024299968 -5297627.396942978,19053478.256199967 -5297635.467642991,19053536.500399977 -5297659.463742977,19053589.763699964 -5297652.331342991,19053625.742399972 -5297664.315642986,19053751.884899978 -5297558.922742985,19053864.19179997 -5297561.383442982,19054008.761299968 -5297556.4942429755,19054160.25999997 -5297602.09674299,19054247.496799976 -5297650.319642987,19054303.341499966 -5297758.267642984,19054333.42099997 -5297851.557242986,19054391.70999997 -5297939.422742983,19054403.734399963 -5298026.436842994,19054387.196599968 -5298033.1453429945,19054396.27959998 -5298059.041642989,19054506.932599973 -5298105.586042997,19054584.678599976 -5298108.767642994,19054787.883499976 -5298216.912842995,19054890.754299972 -5298244.328442997,19055035.045499973 -5298241.179142989,19055163.463699967 -5298247.12184299,19055304.00979997 -5298272.206443002,19055372.750199977 -5298283.141342999,19055463.646999974 -5298317.627542992,19055403.186499964 -5298417.639142997,19055439.07739997 -5298480.285842997,19055515.65639998 -5298561.861542997,19055584.201399967 -5298658.729843004,19055591.40889997 -5298741.377143003,19055608.13019997 -5298799.742043013,19055640.86719997 -5298830.098542998,19055705.807899974 -5298855.998443009,19055740.05119998 -5298876.07594301,19055760.87469997 -5298922.929943014,19055827.995199967 -5298966.921943007,19055987.829499975 -5299059.326843004,19056154.973399963 -5299174.042743008,19056259.292699974 -5299268.9480430195,19056376.557699975 -5299321.837943013,19056516.684599977 -5299431.615343015,19056627.33059998 -5299512.557243019,19056718.998599973 -5299542.735643022,19056809.65399997 -5299526.566643021,19056866.315699972 -5299598.284143022,19056931.821799975 -5299631.924143009,19056976.880499974 -5299683.249943021,19056997.954399977 -5299730.030043017,19057069.22109997 -5299775.878843026,19057187.057199977 -5299802.589443025,19057238.825399984 -5299821.832643016,19057292.126099978 -5299863.264543022,19057348.53529998 -5299947.061543024,19057374.81179997 -5300032.224243032,19057406.891799975 -5300127.583743031,19057424.88679997 -5300224.655143028,19057436.90679998 -5300319.584643034,19057441.28989998 -5300396.221943036,19057470.090899978 -5300457.27104303,19057468.843099974 -5300515.659343038,19057469.343299974 -5300586.171543041,19057508.261899974 -5300643.410843041,19057562.00269998 -5300702.097343039,19057591.05629997 -5300785.231043044,19057591.487099968 -5300825.205643035,19057630.189599976 -5300877.606643035,19057652.338299964 -5300923.205643048,19057660.280699972 -5300972.367043039,19057676.00969998 -5301017.828443039,19057723.25059998 -5301060.5231430475))"
